Brand,Nama,Harga,Diskon,Harga Sebelum Diskon
GOME,"COD  i12ProMax RAM 8GB & ROM 256GB Jaringan handphone 4G Smartphone 6.7"" NEW Handphone",119900000000,29%,168100000000
Maxtron,"Maxtron S8 2020, 4G LTE Fullview Display Garansi Resmi COD/BAYAR DITEMPAT",89500000000,1%,89900000000
Tidak Ada Merek,Casing Handphone Vivo Y12 Y30 Y50 Y30I Y51 2020 Y91C Y17 Y15 Y11 Y91 Y93 Y95 Y20S Y12S Motif Geometri Abstrak,1770600000,69%,5711800000
Vivo,VIVO Y20 RAM 4GB ROM 64GB GARANSI RESMI Handphone vivo hp vivo y20 terbaru COD,195900000000,22%,195900000000
Tidak Ada Merek,Casing Handphone XiaoMi Poco M3 Xiaomi Redmi 9c Nfc 9 8 8a Pro 8a Dual Redmi Note 9 9pro 9s Note8 Motif Star Wars,1485100000,74%,5711800000
Xiaomi,"[Baru] ""Handphone Xiaomi Redmi 3S 16GB RAM 2GB 4G LTE 13MP 4100mAh | HP Xiaomi 3S Snapdragon 430 New",65300000000,40%,97999900000
Vivo,Vivo Y12S 3GB 32GB BNIB GARANSI RESMI Original handphone VIVOY12S Termuarh hp vivo y12s y12i y12 COD,162000000000,19%,165900000000
Tidak Ada Merek,HP MURAH cuci gudang   COD HP Android Mate40Pro RAM 8GB & ROM 256GB Jaringan handphone 4G Smartphone,21000000000,N/A,N/A
Xiaomi,Xiaomi Redmi 4A 2GB RAM 16GB ROM | HP Redmi 4A 2/16GB | Handphone Xiaomi Redmi 4A Jaringan 4G LTE,59999900000,56%,86900000000
